Img TS,Img name,Enc TS,Encoder counts 1,Encoder counts 0
1746051758.9386506,Image_407.jpg,1746051758.942416,-211,-280
1746051759.1383622,Image_408.jpg,1746051759.141966,-234,-260
1746051759.3350785,Image_409.jpg,1746051759.338446,-260,-234
1746051759.534638,Image_410.jpg,1746051759.5381083,-281,-205
1746051759.731934,Image_411.jpg,1746051759.7359388,-302,-178
1746051759.934162,Image_412.jpg,1746051759.9376473,-318,-149
1746051760.1365364,Image_413.jpg,1746051760.1407752,-331,-106
1746051760.3356733,Image_414.jpg,1746051760.3387957,-341,-80
1746051760.535957,Image_415.jpg,1746051760.5395582,-347,-45
1746051760.7347908,Image_416.jpg,1746051760.7382147,-351,-12
1746051760.936674,Image_417.jpg,1746051760.9404082,-350,22
1746051761.1342053,Image_418.jpg,1746051761.1374755,-345,51
1746051761.3360908,Image_419.jpg,1746051761.339895,-338,86
1746051761.5375586,Image_420.jpg,1746051761.5412252,-328,122
1746051761.7379322,Image_421.jpg,1746051761.7414403,-313,157
1746051761.9343958,Image_422.jpg,1746051761.9373915,-295,189
1746051762.1352835,Image_423.jpg,1746051762.1388698,-277,215
