Img TS,Enc TS,Encoder counts 1,Encoder counts 0,yaws,pitches
1746051742.336184,1746051742.3396883,344,-68,-10.0350409831884,1.5104604566043776
1746051742.539797,1746051742.5435374,335,-96,-10.609099168730587,1.3454203170455088
1746051742.7376456,1746051742.740719,324,-140,-10.773148770073988,0.2460564848013007
1746051742.9389064,1746051742.9427912,309,-160,-9.424538239669346,-0.23092950506217846
1746051743.1373236,1746051743.1406548,292,-197,,-0.7790660062828749
1746051743.3358078,1746051743.3394134,271,-224,-10.6488903489476,-2.129841014290079
1746051743.5433855,1746051743.5472252,246,-248,-12.157603777236027,-2.591580720965837
1746051743.7380462,1746051743.740769,221,-272,-11.563898827007431,-3.6212443367979006
1746051743.9375448,1746051743.9408343,192,-292,-12.876183020486096,-4.498820941446837
1746051744.141468,1746051744.1458695,162,-308,,-5.120200481009107
1746051744.3419356,1746051744.3457768,128,-330,-13.988964661961365,-5.8201018034230145
1746051744.5398889,1746051744.5439086,98,-333,-14.3169095476023,-6.497552905989622
1746051744.737303,1746051744.7407107,61,-347,-14.134057067637176,-6.811753203174433
1746051744.9407911,1746051744.944004,26,-350,-13.428557246561258,-7.452389819200462
1746051745.1416197,1746051745.1452708,-9,-350,-14.943245824895875,-7.465454839768228
1746051745.3378618,1746051745.3411863,-43,-350,-15.392141829202053,-7.607340963473632
1746051745.5367267,1746051745.539889,-78,-343,-13.617390123992902,-6.94161572478076
1746051745.738777,1746051745.7420788,-112,-330,-15.193475969100362,-7.767666210447885
1746051745.9385214,1746051745.9416704,-145,-321,-15.534051047374525,-7.746747091468734
1746051746.1388474,1746051746.142218,-174,-299,-14.620960385852218,-7.780693515968011
1746051746.3385537,1746051746.3425872,-204,-281,-15.324794182203522,-7.646986912288483
1746051746.5419374,1746051746.5465655,-231,-267,-14.676314621141856,-8.181159852189268
1746051746.7395236,1746051746.7433603,-257,-234,-13.031065356287307,-7.507056134178754
1746051746.9367204,1746051746.9405582,-280,-212,-12.681236214130326,-8.274396697323567
1746051747.1382625,1746051747.1418705,-299,-189,-13.019611825000823,-8.145859403707902
1746051747.3360558,1746051747.3395398,-315,-158,-12.037448564033166,-7.688815842523553
1746051747.538273,1746051747.5421178,-329,-117,-10.30865983549334,-7.5830818138977065
1746051747.7367983,1746051747.7402208,-336,-79,-9.716406056663105,-7.227174594092148
1746051747.9381802,1746051747.941208,-346,-42,-8.71624908184863,-7.356060503026754
